"Berenguer 2010 {published data only}  Berenguer CM, Davis FE, Howington JU. Brain death confirmation: Comparison of computed tomographic angiography with nuclear medicine perfusion scan. Journal of Trauma Injury, Infection and Critical Care March 2010;68(3):553-9. [PUBMED: 20220416] CrossRef | Web of Science® Times Cited: 13 | UvA-linker Full Text",included,CD009694
21168593,included,CD009694
17275466,included,CD009694
9576648,included,CD009694
19565357,included,CD009694
19406767,included,CD009694
16733422,included,CD009694
17643226,included,CD009694
21971739,included,CD009694
22788547,included,CD009694
18575685,excluded,CD009694
"Badenes Quiles 2011 {published data only}  Badenes Quieles R, Moreno J, Garcia-Perez M, Pastor E, Maruenda A, et al. Cerebral blood flow by thermal diffusion during assessment of brain death. Presentation 0988 Berlin 2011. ",excluded,CD009694
20565396,excluded,CD009694
24148531,excluded,CD009694
"Bosnell 2011 {published data only}  Bosnell R, Madder H. Concepts of brain death. Surgery 2011;29(7):289-94. UvA-linker Full Text",excluded,CD009694
19444652,excluded,CD009694
18988312,excluded,CD009694
21263309,excluded,CD009694
19558940,excluded,CD009694
19881172,excluded,CD009694
18973057,excluded,CD009694
17940745,excluded,CD009694
17700512,excluded,CD009694
21849846,excluded,CD009694
18351321,excluded,CD009694
21330863,excluded,CD009694
17719630,excluded,CD009694
"Machado 2010 {published data only}  Machado C, Perez J, Scherle C, Korein J. When are ancillary tests recommended in brain death confirmation?. The Internet Journal of Neurology ISSN 1531-295X 2010;12(2):n/a. UvA-linker Full Text",excluded,CD009694
21086225,excluded,CD009694
14981190,excluded,CD009694
18574925,excluded,CD009694
"Sherrington 2011 {published data only}  Sherrington A, Barrass L, Mandersloot G, Healy M. Abstract: Survey of the use of ancillary tests in the diagnosis of brain stem death. Critical Care 2011;15 Suppl 1:P523. CrossRef | UvA-linker Full Text",excluded,CD009694
20820765,excluded,CD009694
"Welschehold 2012b {published data only}  Welschehold S, Boor S, Reuland K, Beyer C, Kerz T, Reuland A, Müller-Forell W. CT Angiography as a Confirmatory Test in Brain Death. Intracranial Pressure and Brain Monitoring XIV, Acta Neurochirurgica Supplementum 2012;114:311-6. [DOI: 10.1007/978-3-7091-0956-4_60] CrossRef | UvA-linker Full Text",excluded,CD009694
11781400,excluded,CD009694
Musacchio 2010 {unpublished data only}  Ongoing study Starting date of trial not provided. Contact author for more information. ,additional,CD009694
