17171352,included,CD010657
3523415,included,CD010657
9924638,included,CD010657
19798584,included,CD010657
16082551,included,CD010657
16205610,included,CD010657
14758509,included,CD010657
12172762,included,CD010657
15378148,included,CD010657
17875650,included,CD010657
15379054,included,CD010657
12650294,included,CD010657
10835062,included,CD010657
12529459,included,CD010657
11793131,included,CD010657
20708748,included,CD010657
1343562,included,CD010657
9028852,included,CD010657
19593590,included,CD010657
22040289,included,CD010657
17626605,included,CD010657
17665222,included,CD010657
12023172,included,CD010657
1327798,included,CD010657
18977988,included,CD010657
10353409,included,CD010657
19397555,included,CD010657
22048628,included,CD010657
18035134,included,CD010657
22089774,included,CD010657
23354031,included,CD010657
17273861,included,CD010657
23203209,included,CD010657
8935409,included,CD010657
22374404,included,CD010657
17188624,included,CD010657
17372481,included,CD010657
12883980,included,CD010657
16305102,excluded,CD010657
18982468,excluded,CD010657
20717070,excluded,CD010657
19142706,excluded,CD010657
7653274,excluded,CD010657
19139618,excluded,CD010657
8051912,excluded,CD010657
9696330,excluded,CD010657
22569440,excluded,CD010657
8283371,excluded,CD010657
8988117,excluded,CD010657
9832579,excluded,CD010657
11207174,excluded,CD010657
2646060,excluded,CD010657
2197833,excluded,CD010657
23206783,excluded,CD010657
11956778,excluded,CD010657
11605786,excluded,CD010657
15043659,excluded,CD010657
8326640,excluded,CD010657
2660762,excluded,CD010657
2838835,excluded,CD010657
23562318,excluded,CD010657
12762236,excluded,CD010657
22019042,excluded,CD010657
16791804,excluded,CD010657
8965153,excluded,CD010657
9588640,excluded,CD010657
23588743,excluded,CD010657
9757230,excluded,CD010657
9393542,excluded,CD010657
8284391,excluded,CD010657
9833368,excluded,CD010657
23282612,excluded,CD010657
9499305,excluded,CD010657
1314684,excluded,CD010657
1847727,excluded,CD010657
11371951,excluded,CD010657
20679300,excluded,CD010657
11075596,excluded,CD010657
11744799,excluded,CD010657
15643258,excluded,CD010657
7864667,excluded,CD010657
18715573,excluded,CD010657
20467791,excluded,CD010657
21711394,excluded,CD010657
15311040,excluded,CD010657
15592079,excluded,CD010657
20728131,excluded,CD010657
8741315,excluded,CD010657
9142619,excluded,CD010657
3540885,excluded,CD010657
18342183,excluded,CD010657
9307157,excluded,CD010657
19907934,excluded,CD010657
3897561,excluded,CD010657
3909120,excluded,CD010657
3532020,excluded,CD010657
23353046,excluded,CD010657
15739109,excluded,CD010657
16810514,excluded,CD010657
3880909,excluded,CD010657
1640534,excluded,CD010657
10886091,excluded,CD010657
18815817,excluded,CD010657
23439905,excluded,CD010657
19230904,excluded,CD010657
2540982,excluded,CD010657
20501726,excluded,CD010657
12700963,excluded,CD010657
21678239,excluded,CD010657
2677332,excluded,CD010657
1681043,excluded,CD010657
11003855,excluded,CD010657
23768525,excluded,CD010657
9542222,excluded,CD010657
12632757,excluded,CD010657
10223500,excluded,CD010657
15311041,excluded,CD010657
20852370,excluded,CD010657
18977988,excluded,CD010657
12172827,excluded,CD010657
19128764,excluded,CD010657
22052149,excluded,CD010657
16085971,excluded,CD010657
9629792,excluded,CD010657
21566305,excluded,CD010657
19564279,excluded,CD010657
22234625,excluded,CD010657
22282382,excluded,CD010657
12876855,excluded,CD010657
21074813,excluded,CD010657
11832762,excluded,CD010657
23314790,excluded,CD010657
2232497,excluded,CD010657
1331546,excluded,CD010657
3282782,excluded,CD010657
8618333,excluded,CD010657
7741578,excluded,CD010657
19620025,excluded,CD010657
7658265,excluded,CD010657
8740300,excluded,CD010657
2660529,excluded,CD010657
3041610,excluded,CD010657
2557721,excluded,CD010657
16502071,excluded,CD010657
12188413,excluded,CD010657
15455544,excluded,CD010657
19444481,excluded,CD010657
20488488,excluded,CD010657
2849382,excluded,CD010657
20556431,excluded,CD010657
15868848,excluded,CD010657
23084719,excluded,CD010657
15973531,excluded,CD010657
24366989,excluded,CD010657
3062684,excluded,CD010657

​
